study_hours_per_day,attendance_rate,sleep_hours,social_media_hours,assignment_completion_rate,participation_score,online_courses_completed,math_score,reading_score,writing_score,science_score,final_exam_score,previous_gpa,study_environment_Moderate,study_environment_Noisy,study_environment_Quiet,parental_education_Bachelor,parental_education_High School,parental_education_Master,parental_education_PhD,family_income_High,family_income_Low,family_income_Medium,grade_category_A,grade_category_B,grade_category_C,grade_category_D,grade_category_F,tutoring_Yes,pass_fail_Pass,gender_Male,internet_access_Yes
2.98,96.5,6.05,0.1,80.5,68.7,1,42.8,62.4,54.8,51.8,49.1,2.44,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
4.45,95.7,6.96,2.9,70.9,92.6,0,77.9,73.5,64.4,61.6,70.1,2.79,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,True,False,True
3.75,76.0,7.02,2.4,77.6,45.8,4,53.5,38.3,36.3,47.1,42.2,1.49,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False
2.03,72.6,6.23,3.5,63.5,72.9,4,28.3,23.5,32.0,39.0,31.9,1.34,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,True
5.14,87.3,8.54,2.1,71.8,55.7,0,74.7,54.9,73.6,55.5,66.4,2.6,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,False,True,True,True
1.16,92.0,8.16,2.6,100.0,76.3,2,40.3,42.2,44.1,30.0,40.9,1.61,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
3.33,74.2,7.34,3.9,81.3,41.8,1,52.1,48.4,49.4,47.8,47.1,1.35,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True
2.01,88.0,6.58,0.0,87.3,74.9,4,45.6,57.1,47.4,67.0,57.0,2.52,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True
1.22,70.4,7.96,1.1,79.6,99.1,2,23.9,26.9,32.3,32.8,30.2,1.2,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True
1.64,95.6,7.51,1.7,81.0,61.8,2,59.6,46.2,68.0,48.3,54.8,2.02,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,True
2.94,79.3,6.56,2.3,82.0,47.4,1,57.1,49.5,55.5,55.7,55.2,2.39,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,True,True
3.42,83.4,7.97,0.4,76.4,79.9,6,60.8,57.5,65.4,58.3,60.9,2.27,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True,True
4.27,93.6,7.37,1.1,88.9,65.3,0,56.2,57.9,38.2,37.4,49.0,2.01,True,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,False
4.77,92.7,5.34,3.5,69.3,84.2,6,57.0,55.4,67.6,49.7,57.4,2.45,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,True
3.33,89.7,6.01,3.2,57.8,86.5,2,51.4,41.1,57.4,44.3,49.4,2.14,False,False,True,True,False,False,False,False,False,True,False,False,False,False,True,True,False,False,True
2.47,95.3,5.67,0.0,83.0,85.5,1,63.6,55.4,54.3,63.5,58.8,2.25,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,True,True,True
4.25,89.1,8.03,2.2,96.8,69.6,4,47.5,44.7,44.8,46.8,47.5,1.89,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
2.26,99.5,6.3,2.3,70.3,97.4,5,42.3,46.2,43.6,49.4,45.4,2.11,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True
1.09,67.9,7.63,1.1,91.8,81.9,1,56.1,58.8,64.0,64.9,61.2,3.01,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True
4.13,84.4,9.17,2.3,90.1,59.1,4,47.0,66.6,59.7,65.2,61.1,2.31,False,True,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,True
4.59,84.0,7.79,3.1,100.0,60.2,3,73.1,72.7,65.1,65.2,70.7,2.78,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False
2.01,82.8,6.58,3.6,100.0,89.6,2,49.3,41.9,38.5,37.1,37.9,1.36,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,True
5.35,90.0,6.26,2.7,88.7,80.0,4,56.6,64.7,57.9,67.0,57.8,2.09,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,True,False,True
3.7,87.1,6.69,3.5,78.2,59.2,1,57.7,71.0,47.1,53.1,57.7,2.36,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,True
3.52,93.2,5.97,2.5,55.8,64.6,0,40.7,48.1,58.6,59.2,50.6,1.83,False,False,True,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True
2.38,73.2,5.86,0.0,94.6,69.0,1,37.6,37.2,50.3,37.2,41.1,1.68,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True
4.22,100.0,6.2,2.3,97.0,82.3,0,48.8,65.9,67.6,60.2,60.5,2.59,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True
1.17,81.1,7.53,0.7,76.1,66.7,2,39.4,48.1,29.8,29.5,35.6,1.76,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,True
2.59,87.9,6.48,2.7,85.3,89.7,0,36.2,62.4,49.6,62.2,53.9,2.4,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,True,True,False,True
2.12,82.9,6.77,2.2,64.6,75.4,4,42.1,37.3,54.4,40.0,39.9,2.22,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True
1.43,85.8,7.47,2.2,71.0,90.4,1,40.4,27.2,49.7,52.6,42.3,2.04,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,True
4.04,79.7,7.73,1.2,60.2,52.8,0,61.2,74.6,57.1,62.8,61.3,2.64,False,True,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,True,True
3.41,87.1,5.07,1.9,84.0,92.5,2,48.7,69.3,61.4,66.7,63.2,2.35,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
3.97,90.8,5.28,3.0,74.0,87.5,2,48.2,49.7,49.7,47.9,49.9,2.07,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True
2.67,61.0,6.61,1.1,98.7,71.1,0,37.9,35.7,42.9,48.4,38.2,1.78,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
4.18,81.7,5.89,1.6,83.5,62.1,1,50.4,47.0,63.1,59.6,54.2,2.21,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,False,True,True,True
3.09,81.3,7.85,0.0,85.3,89.5,2,49.8,53.9,56.6,67.2,54.5,1.76,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False
